location,listPrice,livingArea,additionalArea,plotArea,source,rooms,published,constructionYear,objectType,booliId,soldDate,soldPrice,soldPriceSource,url,rent,floor,isNewConstruction
"{'address': {'streetAddress': 'Storvägen 56', 'city': 'Bjursås'}, 'position': {'latitude': 60.73249, 'longitude': 15.440357}, 'namedAreas': ['Bjursås'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",1875000.0,90.0,54.0,3292.0,"{'name': 'Slagga.se', 'id': 1401, 'type': 'Broker', 'url': 'http://www.slagga.se/'}",4.0,2020-09-12 07:52:41,1936.0,Villa,3927641,2021-02-26,1875000,bid,https://www.booli.se/annons/3927641,,,
"{'address': {'streetAddress': 'Jesper Svedbergsvägen 23', 'city': 'Falun'}, 'position': {'latitude': 60.622173, 'longitude': 15.630609}, 'namedAreas': ['Britsarvet'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",4295000.0,128.0,128.0,804.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",5.0,2021-02-11 22:11:20,1970.0,Villa,4116070,2021-02-25,4750000,bid,https://www.booli.se/annons/4116070,,,
"{'address': {'streetAddress': 'Västra Strömvägen 26', 'city': 'Falun'}, 'position': {'latitude': 60.58703823, 'longitude': 15.72462205}, 'namedAreas': ['Masugnen'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",4950000.0,191.0,8.0,271.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",6.0,2021-01-29 12:01:53,1977.0,Villa,4101470,2021-02-19,4950000,bid,https://www.booli.se/annons/4101470,,,
"{'address': {'streetAddress': 'Lagmansvägen 6', 'city': 'Falun'}, 'position': {'latitude': 60.585327, 'longitude': 15.618629}, 'namedAreas': ['Samuelsdal'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",3850000.0,121.0,,862.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",4.0,2021-01-25 15:37:24,1988.0,Villa,4097079,2021-02-04,4420000,maklare,https://www.booli.se/annons/4097079,,,
"{'address': {'streetAddress': 'Borisa 13', 'city': 'Bjursås'}, 'position': {'latitude': 60.73851681, 'longitude': 15.46603543}, 'namedAreas': ['Bjursås'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",2575000.0,172.0,24.0,891.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",7.0,2021-01-23 03:10:09,1979.0,Villa,4095920,2021-02-09,3600000,bid,https://www.booli.se/annons/4095920,,,
"{'address': {'streetAddress': 'Haraldsbovägen 48', 'city': 'Falun'}, 'position': {'latitude': 60.59681714, 'longitude': 15.67661946}, 'namedAreas': ['Falu Kristine'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",2395000.0,109.0,74.0,1055.0,"{'name': 'SkandiaMäklarna', 'id': 1570, 'type': 'Broker', 'url': 'http://www.skandiamaklarna.se/'}",4.0,2021-01-26 12:41:08,1959.0,Villa,4097909,2021-02-06,3100000,bid,https://www.booli.se/annons/4097909,,,
"{'address': {'streetAddress': 'Ringvägen 30', 'city': 'Falun'}, 'position': {'latitude': 60.61419831, 'longitude': 15.59981115}, 'namedAreas': ['Stenslund'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",3495000.0,179.0,85.0,2767.0,"{'name': 'Fastighetsbyrån', 'id': 1573, 'type': 'Broker', 'url': 'http://www.fastighetsbyran.se/'}",8.0,2021-01-21 20:57:46,1967.0,Villa,4094232,2021-02-05,3775000,bid,https://www.booli.se/annons/4094232,,,
"{'address': {'streetAddress': 'Svartnäs 320'}, 'position': {'latitude': 60.9161035, 'longitude': 16.13350359}, 'namedAreas': ['Svartnäs'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",495000.0,75.0,,1178.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",5.0,2021-01-08 11:22:59,1953.0,Villa,4066814,2021-02-03,710000,bid,https://www.booli.se/annons/4066814,,,
"{'address': {'streetAddress': 'Yttertänger 128'}, 'position': {'latitude': 60.840557, 'longitude': 15.760966}, 'namedAreas': ['Enviken'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",1995000.0,89.0,0.0,3.0,"{'name': 'Fastighetsbyrån', 'id': 1573, 'type': 'Broker', 'url': 'http://www.fastighetsbyran.se/'}",3.0,2021-01-06 00:52:57,1909.0,Villa,4078863,2021-02-03,2200000,bid,https://www.booli.se/annons/4078863,,,
"{'address': {'streetAddress': 'Strand 130'}, 'position': {'latitude': 60.48263399, 'longitude': 15.74712818}, 'namedAreas': ['Vika Strand'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",3850000.0,360.0,115.0,1805.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",9.0,2021-01-16 23:42:15,1930.0,Villa,4089135,2021-01-29,5600000,maklare,https://www.booli.se/annons/4089135,,,
"{'address': {'streetAddress': 'Marnäs 14'}, 'position': {'latitude': 60.835464, 'longitude': 15.668687}, 'namedAreas': ['Enviken'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",650000.0,70.0,40.0,4002.0,"{'name': 'Fastighetsbyrån', 'id': 1573, 'type': 'Broker', 'url': 'http://www.fastighetsbyran.se/'}",4.0,2021-01-05 16:04:02,1909.0,Villa,4000456,2021-01-28,650000,bid,https://www.booli.se/annons/4000456,,,
"{'address': {'streetAddress': 'Sandtäktsvägen 6', 'city': 'Falun'}, 'position': {'latitude': 60.62414112, 'longitude': 15.63808849}, 'namedAreas': ['Britsarvet'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",4600000.0,114.0,170.0,1143.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",4.0,2020-08-27 15:21:11,1971.0,Villa,3934719,2020-12-21,4600000,maklare,https://www.booli.se/annons/3934719,,,
"{'address': {'streetAddress': 'Ljusdal 15'}, 'position': {'latitude': 60.554422, 'longitude': 15.490943}, 'namedAreas': ['Ljusdal'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",2375000.0,155.0,57.0,4260.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",5.0,2018-10-06 02:54:53,1925.0,Villa,3257524,2018-10-25,3310000,maklare,https://www.booli.se/annons/3257524,,,
